id,borehole_id,temperature,depth
2630,239,-20.41,91.94
2631,239,-20.29,96.94
2632,239,-20.13,101.94
2633,239,-20.01,106.94
2634,239,-19.85,111.94
2635,239,-19.71,116.94
2636,239,-19.57,121.94
2637,239,-19.42,126.94
2638,239,-19.28,131.94
2639,239,-19.12,136.94
2640,239,-19.04,141.94
2641,240,-24.16,10.91
2642,240,-24.35,15.91
2643,240,-24.33,20.91
2644,240,-24.19,25.91
2645,240,-24.19,30.91
2646,240,-24.08,35.91
2647,240,-24.03,40.91
2648,240,-23.92,45.91
2649,240,-23.85,50.91
2650,240,-23.8,55.91
2651,240,-23.72,60.91
2652,240,-23.68,65.91
2653,240,-23.61,70.91
2654,240,-23.54,75.91
2655,240,-23.47,80.91
2656,240,-23.39,85.91
2657,240,-23.32,90.91
2658,240,-23.23,95.91
2659,240,-23.14,100.91
2660,240,-23.05,105.91
2661,240,-22.97,110.91
2662,240,-22.85,115.91
2663,240,-22.76,120.91
2664,240,-22.68,125.91
2665,240,-22.56,130.91
2666,240,-22.44,135.91
2667,240,-22.33,140.91
2668,240,-22.24,145.91
2669,240,-22.11,150.91
2670,240,-21.98,155.91
2671,240,-21.86,160.91
2672,240,-21.76,165.91
2673,240,-21.61,170.91
2674,240,-21.49,175.91
2675,240,-21.35,180.91
2676,240,-21.22,185.91
2677,240,-21.09,190.91
2678,240,-20.95,195.91
2679,240,-20.83,200.91
2680,240,-20.69,205.91
2681,240,-20.55,210.91
2682,240,-20.42,215.91
2683,240,-20.27,220.91
2684,240,-20.13,225.91
2685,240,-19.99,230.91
2686,240,-19.82,235.91
2687,240,-19.69,240.91
2688,240,-19.55,245.91
2689,240,-19.39,250.91
2690,240,-19.24,255.91
2691,240,-19.09,260.91
2692,240,-18.94,265.91
2693,240,-18.8,270.91
2694,240,-18.64,275.91
2695,240,-18.5,280.91
2696,240,-18.42,285.91
2697,240,-18.17,290.91
2698,240,-17.9,295.91
2699,240,-17.84,300.91
2700,240,-17.69,305.91
2701,240,-17.54,310.91
2702,240,-17.37,315.91
2703,240,-17.22,320.91
2704,240,-17.06,325.91
2705,240,-16.92,330.91
2706,240,-16.83,335.91
2707,240,-16.74,340.91
2708,241,-9.7675,0.5
2709,241,-10.88,1.5
2710,241,-10.366,3.5
2711,241,-9.2026,5.5
2712,241,-8.2492,7.5
2713,241,-7.9154,8.5
2714,241,-7.6489,9.5
2715,241,-7.4595,10.5
2716,241,-7.3413,11.5
2717,241,-7.2398,13.5
2718,241,-7.2359,17.5
2719,242,-0.101,118.6
2720,242,-0.13,142.6
2721,242,-0.062,154.6
2722,242,-0.179,166.6
2723,242,-0.179,172.6
2724,242,-0.14,178.6
2725,242,-0.169,184.6
2726,242,-0.14,186.6
2727,242,-0.257,188.6
2728,242,-0.101,190.6
2729,243,-2.9611,15.0
2730,243,-1.9278,25.0
2731,243,-1.5111,30.0
2732,243,-1.1889,35.0
2733,243,-0.9333,40.0
2734,243,-0.6889,45.0
2735,243,-0.35,55.0
2736,243,-0.1167,65.0
2737,243,-0.0056,70.0
2738,244,-2.006,16.5
2739,244,-1.614,21.5
2740,244,-1.206,26.5
2741,244,-0.689,36.5
2742,244,-0.352,46.5
2743,244,-0.014,56.5
2744,244,-0.054,71.5
2745,244,0.002,81.5
2746,245,-0.048,14.0
2747,245,-0.028,39.0
2748,245,-0.049,64.0
2749,245,-0.077,89.0
2750,245,-0.114,114.0
2751,245,-0.12,139.0
2752,246,-0.102,3.0
2753,246,-0.104,28.0
2754,246,-0.063,53.0
2755,246,-0.062,78.0
2756,246,-0.032,103.0
2757,246,-0.229,128.0
2758,246,-0.11,153.0
2759,247,-8.4850875,0.05
2760,247,-8.3235612,0.1
2761,247,-7.7106125,0.3
2762,247,-7.2716715,0.5
2763,247,-6.1013027,1.0
2764,247,-4.9389522,1.5
2765,247,-4.1245282,1.0
2766,247,-3.0637699,3.0
2767,247,-2.1445952,6.0
2768,247,-2.1722125,8.0
2769,247,-2.0229175,10.0
2770,248,-8.4116224,0.05
2771,248,-8.1870015,0.1
2772,248,-7.5569497,0.3
2773,248,-6.9697958,0.5
2774,248,-5.6452498,1.0
2775,248,-4.7322533,1.5
2776,248,-3.9644959,1.0
2777,248,-4.6527231,3.0
2778,248,-2.4987752,4.0
2779,248,-2.2921151,6.0
2780,248,-2.2044852,8.0
2781,248,-1.9478889,10.0
2782,251,-22.480295,0.0031628124
2783,251,-19.243004,0.32103428
2784,251,-15.639817,0.73350745
2785,251,-12.698166,1.0823886
2786,251,-10.615152,1.3988112
2787,251,-9.827245,1.7763697
2788,251,-9.26477,2.3576205
2789,251,-8.927439,2.8601365
2790,251,-8.7590275,3.3624406
2791,251,-8.731556,4.0371623
2792,251,-8.9299755,5.370597
2793,251,-9.268827,6.3743567
2794,251,-9.706643,7.8016334
2795,251,-9.946912,8.758446
2796,251,-10.130874,9.715329
2797,251,-10.526492,11.17404
2798,251,-10.72434,11.94262
2799,251,-10.837571,12.554404
2800,251,-11.190753,13.809193
2801,251,-11.346261,14.467994
2802,251,-11.487581,15.01698
2803,252,-24.999985,-0.015690377
2804,252,-23.874033,0.15831731
2805,252,-22.185053,0.36441252
2806,252,-18.061144,0.8873721
2807,252,-15.598016,1.1572006
2808,252,-12.543673,1.4277712
2809,252,-11.558519,1.632983
2810,252,-10.855135,2.0731971
2811,252,-10.320781,2.6230316
2812,252,-9.913099,3.1570168
2813,252,-9.54787,3.9106143
2814,252,-9.323469,4.7267966
2815,252,-9.281874,5.3544645
2816,252,-9.48015,6.546686
2817,252,-9.861454,7.770058
2818,252,-10.172136,8.758163
2819,252,-10.313504,9.35422
2820,252,-10.568198,10.656204
2821,252,-10.822449,11.518857
2822,252,-11.076524,12.208916
2823,252,-11.246378,13.134436
2824,252,-11.402107,14.012902
2825,252,-11.473489,15.0013075
2826,253,-25.014061,-0.015708046
2827,253,-22.762096,0.26954582
2828,253,-19.440456,0.697356
2829,253,-17.484148,1.0293099
2830,253,-15.457251,1.1573774
2831,253,-14.303194,1.3784915
2832,253,-12.839502,1.6470655
2833,253,-12.079732,2.0088983
2834,253,-11.235821,2.6846447
2835,253,-10.757677,3.1402664
2836,253,-10.476796,3.783925
2837,253,-10.19601,4.521726
2838,253,-10.028343,5.761478
2839,253,-10.085696,6.7969723
2840,253,-10.156982,7.691235
2841,253,-10.425657,8.899058
2842,253,-10.52497,9.667764
2843,253,-10.652325,10.3266
2844,253,-10.948978,11.3617935
2845,253,-11.231508,12.349935
2846,253,-11.401489,13.400977
2847,253,-11.515259,14.546233
2848,253,-11.501626,14.985581
2849,254,-25.000015,0.015690377
2850,254,-23.466084,0.42556614
2851,254,-21.97427,0.72555625
2852,254,-20.369923,1.1041396
2853,254,-18.920242,1.3099344
2854,254,-17.653765,1.7194744
2855,254,-16.54227,2.2700336
2856,254,-15.360521,2.946204
2857,254,-14.600974,3.527702
2858,254,-13.7993555,4.2661567
2859,254,-12.885551,5.4283934
2860,254,-11.999933,6.621975
2861,254,-11.522076,7.3600235
2862,254,-11.129437,8.851104
2863,254,-10.9898615,10.028059
2864,254,-10.990939,11.095004
2865,254,-11.160952,12.177428
2866,254,-11.30289,13.33834
2867,254,-11.444686,14.358037
2868,254,-11.48755,14.9855995
2869,255,-12.429633,0.015778724
2870,255,-13.767334,0.4377403
2871,255,-14.809333,0.76593065
2872,255,-15.457124,1.0318543
2873,255,-15.9219675,1.3450787
2874,255,-16.133417,1.6429309
2875,255,-16.161871,1.9410126
2876,255,-16.007616,2.521751
2877,255,-15.782834,2.9613643
2878,255,-15.361076,3.495367
2879,255,-14.7143,4.233628
2880,255,-13.64594,5.678485
2881,255,-13.224214,6.243869
2882,255,-12.830768,6.93474
2883,255,-12.451223,7.4529996
2884,255,-12.282669,7.8140903
2885,255,-12.07225,8.536113
2886,255,-11.875844,9.195355
2887,255,-11.693752,10.089937
2888,255,-11.441341,11.047368
2889,255,-11.343804,12.035985
2890,255,-11.344645,12.867576
2891,255,-11.401822,13.730475
2892,255,-11.458858,14.452162
2893,255,-11.473489,15.0013075
2894,256,-7.0523877,0.022528412
2895,256,-9.051655,0.41227877
2896,256,-12.529215,1.0512199
2897,256,-13.683794,1.3478881
2898,256,-14.204928,1.6453515
2899,256,-14.430533,2.021638
2900,256,-14.44499,2.3981893
2901,256,-14.375131,2.91606
2902,256,-14.16468,3.6067016
2903,256,-13.420239,5.2080564
2904,256,-12.731518,6.228797
2905,256,-11.958654,7.563451
2906,256,-11.649795,8.379739
2907,256,-11.509759,9.101673
2908,256,-11.412253,10.121671
2909,256,-11.356866,11.031784
2910,256,-11.330267,12.569476
2911,256,-11.430419,14.16977
2912,256,-11.459413,15.001326
2913,257,0.027265407,0.87869644
2914,257,-3.5347064,1.4704604
2915,257,-5.7874947,2.001106
2916,257,-7.1954837,2.3288372
2917,257,-9.47652,2.9535897
2918,257,-10.940942,3.406773
2919,257,-11.8845,3.8292294
2920,257,-12.335203,4.07971
2921,257,-12.53256,4.3618894
2922,257,-12.744121,4.769574
2923,257,-12.85743,5.4598093
2924,257,-12.703507,6.3700457
2925,257,-12.436798,7.107829
2926,257,-12.029561,8.081144
2927,257,-11.720828,9.022956
2928,257,-11.524707,9.964626
2929,257,-11.398636,10.57671
2930,257,-11.329141,11.45546
2931,257,-11.343979,12.208579
2932,257,-11.373115,13.181348
2933,257,-11.430308,14.0599375
2934,257,-11.44486,14.530632
2935,257,-11.459429,15.017015
2936,258,0.027281258,0.86300606
2937,258,-1.7469993,1.4883947
2938,258,-3.0565472,1.9103917
2939,258,-5.140512,2.5353918
2940,258,-6.886639,3.1608157
2941,258,-8.379468,3.8650098
2942,258,-9.56258,4.538212
2943,258,-10.64741,5.4625835
2944,258,-11.366235,6.371724
2945,258,-11.901999,7.218333
2946,258,-12.015246,7.8458066
2947,258,-12.08647,8.677308
2948,258,-12.115605,9.650076
2949,258,-12.046221,10.638659
2950,258,-11.97652,11.313433
2951,258,-11.766196,12.129598
2952,258,-11.696637,12.945585
2953,258,-11.612876,13.636068
2954,258,-11.557315,14.373587
2955,258,-11.473474,14.985617
2956,259,-9.740994,0.0034631912
2957,259,-6.5603423,0.6507619
2958,259,-4.153837,1.2343273
2959,259,-3.4925241,1.5175846
2960,259,-3.4224427,1.81579
2961,259,-3.5917575,2.2078373
2962,259,-4.042731,2.7250545
2963,259,-4.3948984,2.9756587
2964,259,-5.6906075,3.633029
2965,259,-6.8877964,4.3062134
2966,259,-8.240097,5.2459397
2967,259,-9.141742,5.9822564
2968,259,-9.846268,6.6717496
2969,259,-10.663834,7.7847414
2970,259,-11.298832,9.321603
2971,259,-11.553383,10.482373
2972,259,-11.708891,11.141174
2973,259,-11.639586,12.208208
2974,259,-11.640553,13.165321
2975,259,-11.627316,13.996929
2976,259,-11.501372,14.734536
2977,259,-11.487597,15.032671
2978,260,-15.525,8.910892
2979,260,-15.075,10.891089
2980,260,-14.55,13.861386
2981,260,-13.9875,16.831684
2982,260,-13.575,24.752476
2983,260,-13.2375,37.623764
2984,260,-13.3125,52.475246
2985,260,-13.65,62.376236
2986,260,-13.9125,75.24753
2987,260,-14.1,90.09901
2988,260,-14.175,105.9406
2989,260,-14.025,119.80198
2990,260,-13.7625,131.68317
2991,261,-14.589051,15.445353
2992,261,-14.6098995,29.34394
2993,261,-14.765359,43.608936
2994,261,-15.290577,75.17273
2995,261,-15.591361,96.091934
2996,261,-15.794039,125.58565
2997,261,-15.68954,148.7131
2998,261,-15.439861,164.85562
2999,261,-15.001816,180.28671
3000,261,-13.762467,209.7296
3001,261,-12.221427,251.001
3002,261,-11.347225,277.56345
3003,261,-10.921058,296.63635
3004,261,-10.669345,317.40933
3005,262,-12.764474,20.211971
3006,262,-13.31286,32.52303
3007,262,-13.873818,48.804993
3008,262,-14.340478,66.066795
3009,262,-14.820144,85.31493
3010,262,-15.20522,106.86595
3011,262,-15.429228,127.40335
3012,262,-15.491589,149.57321
3013,262,-15.323655,179.98186
3014,262,-14.982007,205.73674
3015,262,-14.424228,236.42458
3016,262,-13.706319,261.79892
3017,262,-12.543573,293.06824
3018,262,-11.622901,323.70807
