id,author,year,type,title,url,language,container_title,volume,issue,page,version,editor,collection_title,collection_number,publisher
hoelzle2011,M. Hoelzle | G. Darms | M. P. Lüthi | S. Suter,2011,article-journal,"Evidence of accelerated englacial warming in the Monte Rosa area, Switzerland/Italy",https://doi.org/10.5194/tc-5-231-2011,en,The Cryosphere,5,1,231-243,,,,,
hoelzle2014,Martin Hoelzle,2014,chapter,Englacial temperature,https://doi.org/10.18752/glrep_129-130,en,The Swiss Glaciers 2007/08 and 2008/09,,,69-73,,Andreas Bauder | Simon Steffen | Stephanie Usselmann,Glaciological Report,129-130,Swiss Academy of Sciences (SCNAT) > Cryospheric Commission (EKK)
hoelzle2017,Martin Hoelzle,2017,chapter,Englacial temperatures,https://doi.org/10.18752/glrep_135-136,en,The Swiss Glaciers 2013/14 and 2014/15,,,93-98,,Andreas Bauder,Glaciological Report,135-136,Swiss Academy of Sciences (SCNAT) > Cryospheric Commission (EKK)
hoelzle2020,Martin Hoelzle | Matthias Huss | Marlene Kronenberg | Horst Machguth | Enrico Mattea,2020,chapter,Englacial temperature,https://doi.org/10.18752/glrep_139-140,en,The Swiss Glaciers 2017/18 and 2018/19,,,111-115,,Andreas Bauder | Matthias Huss | Andreas Linsbauer,Glaciological Report,139-140,Swiss Academy of Sciences (SCNAT) > Cryospheric Commission (EKK)
hoelzle2022,Martin Hoelzle,2022,chapter,Englacial temperature,https://doi.org/10.18752/glrep_141-142,en,The Swiss Glaciers 2019/20 and 2020/21,,,115-119,,Andreas Bauder | Matthias Huss | Andreas Linsbauer,Glaciological Report,141-142,Swiss Academy of Sciences (SCNAT) > Cryospheric Commission (EKK)
hooke1976,Roger LeB. Hooke,1976,article-journal,"Pleistocene ice at the base of the Barnes Ice Cap, Baffin Island, N.W.T., Canada",https://doi.org/10.3189/S0022143000030719,en,Journal of Glaciology,17,75,49-59,,,,,
hooke1980,Roger LeB. Hooke | E. Calvin Alexander Jr. | Robert J. Gustafson,1980,article-journal,"Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane",https://doi.org/10.1139/e80-124,en,Canadian Journal of Earth Sciences,17,9,1174-1188,,,,,
hou2004,Hou Shugui | Qin Dahe | Jean Jouzel | Valérie Masson-Delmotte | Ulrich Von Grafenstein | Amaelle Landais | Nicolas Caillon | Jérôme Chappellaz,2004,article-journal,Age of Himalayan bottom ice cores,https://doi.org/10.3189/172756504781829981,en,Journal of Glaciology,50,170,467-468,,,,,
hou2007,S. Hou | J. Chappellaz | J. Jouzel | P. C. Chu | V. Masson-Delmotte | D. Qin | D. Raynaud | P. A. Mayewski | V. Y. Lipenkov | S. Kang,2007,article-journal,Summer temperature trend over the past two millennia using air content in Himalayan ice,https://doi.org/10.5194/cp-3-89-2007,en,Climate of the Past,3,1,89-95,,,,,Copernicus GmbH
hou2018,Shugui Hou | Theo M. Jenk | Wangbin Zhang | Chaomin Wang | Shuangye Wu | Yetang Wang | Hongxi Pang | Margit Schwikowski,2018,article-journal,"Age ranges of the Tibetan ice cores with emphasis on the Chongce ice cores, western Kunlun Mountains",https://doi.org/10.5194/tc-12-2341-2018,en,The Cryosphere,12,7,2341-2348,,,,,
huang1990,Huang Maohuan,1990,article-journal,On the temperature distribution of glaciers in China,https://doi.org/10.3189/S002214300000945X,en,Journal of Glaciology,36,123,210-216,,,,,
hubbard2021,Bryn Hubbard | Katie Miles | Samuel Doyle | Duncan Quincey | Evan Miles,2021,dataset,"Ice temperature time-series from sensors installed in boreholes drilled into Khumbu Glacier, Nepal, in 2017 and 2018 as part of EverDrill research project",https://doi.org/10.5285/32ECD5F4-1F00-4EEB-BD1E-5EAFFB60F556,en,,,,,2.0,,,,NERC EDS UK Polar Data Centre
hughes1939,T. P. Hughes | Gerald Seligman,1939,article-journal,"The temperature, melt water movement and density increase in the névé of an Alpine glacier",https://doi.org/10.1111/j.1365-246X.1939.tb02922.x,en,Geophysical Journal International,4,,616-647,,,,,
iida1984,Hajime Iida | Okitsugu Watanabe | Masumi Takikawa,1984,article-journal,"First results from Himalayan Glacier Boring Project in 1981-1982: Part II. Studies on internal structure and transformation process from snow to ice of Yala Glacier, Langtang Himal, Nepal",https://web.seppyo.org/bgr/pdf/2/BGR2P25.PDF,en,Bulletin of Glacier Research,2,,25-33,,,,,
jania1996,Jacek Jania | Dariusz Mochnacki | Bogdan Gdek,1996,article-journal,"The thermal structure of Hansbreen, a tidewater glacier in southern Spitsbergen, Svalbard",https://doi.org/10.3402/polar.v15i1.6636,en,Polar Research,15,1,53-66,,,,,
jarvis1974,Gary T. Jarvis | Garry K. C. Clarke,1974,article-journal,"Thermal effects of crevassing on Steele Glacier, Yukon Territory, Canada",https://doi.org/10.3189/S0022143000023054,en,Journal of Glaciology,13,68,243-254,,,,,
jarvis1975,Gary T. Jarvis | Garry K. C. Clarke,1975,article-journal,The thermal regime of Trapridge Glacier and its relevance to glacier surging,https://doi.org/10.3189/S0022143000021729,en,Journal of Glaciology,14,71,235-250,,,,,
jiao2023,Xiaoyu Jiao | Zhiwen Dong | Giovanni Baccolo | Xuejiao Chen | Xiang Qin | Yaping Shao,2023,article-journal,Provenance of aeolian dust revealed by (234u/238u) activity ratios in cryoconites from high-altitude glaciers in western China and its transport and settlement mechanisms,https://doi.org/10.1029/2023JF007227,en,Journal of Geophysical Research: Earth Surface,128,8,,,,,,
jouzel1984,J. Jouzel | M. Legrand | J. F. Pinglot | M. Pourchet,1984,article-journal,Chronologie d'un carottage de 20 m au col du Dôme (Massif du Mont Blanc) [Chronology of a core sample in the Col du Dôme (Mont Blanc massif)],https://doi.org/10.1051/lhb/1984035,fr,La Houille Blanche,70,6-7,491-498,,,,,
kameda1993,Takao Kameda | Shuhei Takahashi | Kumiko Goto-Azuma | Shiro Kohshima | Okitsugu Watanabe | Jon Ove Hagen,1993,article-journal,First report of ice core analyses and borehole temperatures on the highest icefield on western Spitsbergen in 1992,https://kitami-it.repo.nii.ac.jp/records/6924,en,Bulletin of Glacier Research,,11,51-61,,,,,日本雪氷学会 [Japanese Society of Snow and Ice]
karuss2022,Jānis Karušs | Kristaps Lamsters | Ireneusz Sobota | Jurijs Ješkins | Pēteris Džeriņš | Andrew Hodson,2022,article-journal,"Drainage system and thermal structure of a high Arctic polythermal glacier: Waldemarbreen, western Svalbard",https://doi.org/10.1017/jog.2021.125,en,Journal of Glaciology,68,269,591-604,,,,,
kawamura1989,Toshiyuki Kawamura | Yoshiyuki Fujii | Kazuhide Satow | Kokichi Kamiyama | Kaoru Izumi | Takao Kameda | Okitsugu Watanabe | Sadao Kawaguchi | Bjoern Wold | Yugvar Gjessing,1989,article-journal,"Glaciological characteristics of cores drilled on Jostedalsbreen, Southern Norway",https://doi.org/10.15094/00003576,en,Proceedings of the NIPR Symposium on Polar Meteorology and Glaciology,2,,152-160,,,,,National Institute of Polar Research
