borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrium,notes
87,1,eisen2009,digitized-discrete,2005-01-01,2006-12-31,,,true,date_max: 'temperatures reached equilibrium only after 1-2 years'
88,1,eisen2009,digitized-discrete,2006-05-28,2006-12-31,,,true,
89,1,eisen2009,digitized-discrete,2005-01-01,2006-12-31,,,true,date_max: 'temperatures reached equilibrium only after 1-2 years'
90,1,gilbert2020,digitized-discrete,2014-01-01,2015-12-31,,,,
92,1,hager2002,published,1999-04-30,1999-04-30,,,,
92,2,hager2002,published,1999-06-30,1999-06-30,,,true,
92,3,hager2002,published,1999-07-19,1999-07-19,,,true,
92,4,hager2002,published,1999-08-24,1999-08-24,,,true,
92,5,hager2002,published,1999-09-14,1999-09-14,,,true,Also plotted in haeberli2004 (Figure 5)
92,6,hager2002,published,1999-10-14,1999-10-14,,,true,
92,7,hager2002,published,1999-12-01,1999-12-01,,,true,Also plotted in haeberli2004 (Figure 5)
92,8,hager2002,published,2000-01-07,2000-01-07,,,true,
92,9,hager2002,published,2000-01-31,2000-01-31,,,true,
92,10,hager2002,published,2000-02-28,2000-02-28,,,true,
92,11,hager2002,published,2000-04-05,2000-04-05,,,true,Also plotted in haeberli2004 (Figure 5)
92,12,hager2002,published,2000-04-21,2000-04-21,,,true,
92,13,hager2002,published,2000-06-19,2000-06-19,,,true,Also plotted in haeberli2004 (Figure 5)
92,14,hager2002,published,2000-07-01,2000-07-01,,,true,
92,15,hager2002,published,2000-07-13,2000-07-13,,,true,
92,16,hager2002,published,2000-07-30,2000-07-30,,,true,
92,17,hager2002,published,2000-08-30,2000-08-30,,,true,
92,18,hager2002,published,2000-09-20,2000-09-20,,,true,Also plotted in haeberli2004 (Figure 5)
92,19,hager2002,published,2000-10-21,2000-10-21,,,true,
92,20,hager2002,published,2001-05-05,2001-05-05,,,true,
92,21,hager2002,published,2001-06-15,2001-06-15,,,true,
92,22,hager2002,published,2001-07-18,2001-07-18,,,true,
92,23,hager2002,published,2001-07-31,2001-07-31,,,true,
92,24,hager2002,published,2001-08-21,2001-08-21,,,true,
92,25,hager2002,published,2001-08-27,2001-08-27,,,true,
92,26,hager2002,published,2001-09-19,2001-09-19,,,true,
92,27,hager2002,published,2001-10-16,2001-10-16,,,true,
92,28,hager2002,published,2001-11-29,2001-11-29,,,true,
92,29,hager2002,published,2002-01-08,2002-01-08,,,true,
92,30,hager2002,published,2002-02-12,2002-02-12,,,true,
92,31,hager2002,published,2002-03-20,2002-03-20,,,true,
92,32,hager2002,published,2002-04-16,2002-04-16,,,true,
97,1,harrison1975,digitized-discrete,1973-04-03,1973-04-03,,,,
97,2,harrison1975,digitized-discrete,1973-07-19,1973-07-19,,,,
99,1,harrison1975,digitized-discrete,1973-04-03,1973-04-03,,,,
99,2,harrison1975,digitized-discrete,1973-07-20,1973-07-20,,,,
101,1,harrison1975,digitized-discrete,1973-04-04,1973-04-04,,,,
101,2,harrison1975,digitized-discrete,1973-07-23,1973-07-23,,,,
103,1,hodgkins1999,digitized-discrete,1993-05-01,1993-05-31,,,,equilibrium: 'Final temperature readings were obtained 50–71 days after installation'
104,1,hodgkins1999,digitized-discrete,1993-05-01,1993-05-31,,,,equilibrium: 'Final temperature readings were obtained 50–71 days after installation'
105,1,jania1996,digitized-discrete,1988-09-25,1988-09-25,,,,
106,1,jania1996,digitized-discrete,1994-10-05,1994-10-05,,,,
107,1,jania1996,digitized-discrete,1989-04-11,1989-04-11,,,,
108,1,jania1996,digitized-discrete,1994-09-25,1994-09-25,,,,
109,1,jania1996,digitized-discrete,1995-10-05,1995-10-05,,,,
110,1,jania1996,digitized-continuous,1979-08-02,1979-08-02,,,,
111,1,jarvis1975,published,1972-08-05,1972-08-05,20:15:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
111,2,jarvis1975,published,1973-06-01,1973-09-30,,,,
112,1,jarvis1975,published,1972-08-05,1972-08-05,16:35:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
112,2,jarvis1975,published,1973-06-01,1973-09-30,,,,
113,1,jarvis1975,published,1972-08-05,1972-08-05,16:25:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
113,2,jarvis1975,published,1973-06-01,1973-09-30,,,,
114,1,jarvis1975,published,1972-08-05,1972-08-05,16:55:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
114,2,jarvis1975,published,1973-06-01,1973-09-30,,,,
115,1,jarvis1975,published,1972-08-05,1972-08-05,17:45:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
115,2,jarvis1975,published,1973-06-01,1973-09-30,,,,
116,1,jarvis1975,published,1972-08-05,1972-08-05,18:00:00,-8,,equilibrium: Temperature measured every 2-3 days but uncertainty remained whether the warmer measurements had stabilized | date/time: jarvis1973 (Appendix IX: Table III)
117,1,jarvis1975,published,1973-06-01,1973-09-30,,,,[flag] Anonalous temperatures attributed to proximity of large water-filled crevasses
118,1,karuss2022,published,2018-09-01,2019-07-31,,,,
119,1,sobota2009,published,2007-09-01,2007-09-30,,,true,
119,2,sobota2009,published,2007-10-01,2007-10-31,,,true,
119,3,sobota2009,published,2007-11-01,2007-11-30,,,true,
119,4,sobota2009,published,2007-12-01,2007-12-31,,,true,
119,5,sobota2009,published,2008-01-01,2008-01-31,,,true,
119,6,sobota2009,published,2008-02-01,2008-02-29,,,true,
119,7,sobota2009,published,2008-03-01,2008-03-31,,,true,
119,8,sobota2009,published,2008-04-01,2008-04-30,,,true,
119,9,sobota2009,published,2008-05-01,2008-05-31,,,true,
119,10,sobota2009,published,2008-06-01,2008-06-30,,,true,
119,11,sobota2009,published,2008-07-01,2008-07-31,,,true,
119,12,sobota2009,published,2008-08-01,2008-08-31,,,true,
120,1,kinnard2020,digitized-discrete,2008-11-23,2008-11-23,,,,
120,2,kinnard2020,digitized-discrete,2010-03-13,2010-03-13,,,,
120,3,kinnard2020,digitized-discrete,2011-04-04,2011-04-04,,,,
120,4,kinnard2020,digitized-discrete,2011-10-23,2011-10-23,,,,
122,1,zagorodnov1981a,digitized-discrete,1976-07-06,1976-08-06,,,false,equilibrium: > 1 °C warmer (at 14 m) than a mechanically-drilled hole 100 m away (borehole 813)
123,1,kotlyakov1985,digitized-continuous,1981-01-01,1981-12-31,,,,
124,1,motoyama2008,published,1995-06-01,1995-06-02,,,,measurement_origin: Originally published in watanabe2001 (Figure 5)
125,1,zagorodnov1990a,digitized-discrete,1987-06-04,1987-06-29,,,true,measurement_origin: Points on diverging profiles were omitted (these are associated with short equilibration times or introduction of fluids into the borehole) | equilibrium: Temperature stabilized after 3-16 days
126,1,motoyama2008,published,1987-06-04,1987-06-04,,,,measurement_origin: Originally published in kawamura1991 (Figure 2) | date_min/date_max: kawamura1991
127,1,kameda1993,published,1992-08-14,1992-08-16,,,estimated,equilibrium: Deviations between final and estimated equilibrated temperatures reflected in the uncertainty
128,1,motoyama2008,published,1993-07-01,1993-07-31,,,estimated,equilibrium: Deviations between final and estimated equilibrated temperatures reflected in the uncertainty (uchida1996 per kameda1993) | measurement_origin: Originally published in uchida1996 (Figure 6)
129,1,barkov1988,published,1979-03-01,1979-03-31,,,true,
130,1,morev1988,published,1984-06-01,1984-06-30,,,,
131,1,morev1988,published,1984-05-01,1984-05-01,,,,
131,2,morev1988,published,1985-05-01,1985-05-01,,,,
132,1,morev1988,published,1985-05-01,1985-05-31,,,,
133,1,zagorodnov1990,digitized-discrete,1986-08-01,1986-09-05,,,true,measurement_origin: Digitized from the more curated Figure 3 in zagorodnov1990 rather than the original Figure 1 in zagorodnov1989
134,1,kotlyakov2004,digitized-continuous,2000-05-10,2001-12-31,,,,measurement_origin: First 504.77 m of ice temperatures (from 2000 drilling campaign) are reported in savatyugin2001 but temperatures to the bottom (2001 drilling campaign) could only be found in kotlyakov2004
135,1,kotlyakov2004,digitized-discrete,1997-01-01,1997-12-31,,,,
136,1,li2011,digitized-continuous,1986-01-01,1986-12-31,,,,
