TIMESTAMP,RECORD,Logger_ID,Year,Julian_Day,Battery_Volts,Panel_Temp,TK145_0005cm,TK145_0010cm,TK145_0030cm,TK145_0050cm,TK145_0100cm,TK145_0150cm,TK145_0200cm,TK145_0300cm,TK145_0400cm,TK145_0600cm,TK145_0800cm,TK145_1000cm
11/11/2014 17:00,50,242,2014,315,13.86405,-0.09511185,-4.191521,-4.029909,-3.590643,-3.243179,-2.598804,-2.300827,-2.057146,-1.963768,-1.917057,-2.173761,-2.12714,-1.89369
11/11/2014 18:00,51,242,2014,315,13.47932,-5.831352,-4.281496,-4.119814,-3.634089,-3.286451,-2.614964,-2.309744,-2.076416,-1.982948,-1.912857,-2.184944,-2.146431,-1.912857
11/11/2014 19:00,52,242,2014,315,13.20794,-9.389671,-4.305655,-4.143896,-3.667217,-3.299719,-2.636068,-2.309706,-2.07626,-1.982782,-1.935989,-2.169693,-2.146353,-1.912621
11/11/2014 20:00,53,242,2014,315,13.1144,-11.8161,-4.314368,-4.152523,-3.689541,-3.318439,-2.644005,-2.317533,-2.083944,-1.990408,-1.931946,-2.177437,-2.154062,-1.920265
11/11/2014 21:00,54,242,2014,315,13.06993,-13.29591,-4.308617,-4.169882,-3.73011,-3.343962,-2.646355,-2.335033,-2.101456,-2.007936,-1.937809,-2.194918,-2.148247,-1.914404
11/11/2014 22:00,55,242,2014,315,13.03914,-14.05051,-4.329505,-4.167662,-3.727768,-3.35667,-2.658939,-2.332443,-2.098829,-2.005308,-1.956161,-2.192335,-2.168962,-1.931574
11/11/2014 23:00,56,242,2014,315,13.01853,-14.52043,-4.317915,-4.156034,-3.739241,-3.368069,-2.649345,-2.340277,-2.092592,-1.993217,-1.946398,-2.180283,-2.156906,-1.923025
11/12/2014 0:00,57,242,2014,316,13.00738,-14.96776,-4.341043,-4.179148,-3.762415,-3.391327,-2.670322,-2.343771,-2.110151,-2.013088,-1.946398,-2.20363,-2.156906,-1.923025
11/12/2014 1:00,58,242,2014,316,13.00181,-15.06717,-4.369927,-4.187273,-3.768227,-3.397127,-2.676121,-2.349602,-2.115976,-2.022478,-1.952253,-2.209511,-2.176767,-1.928841
11/12/2014 2:00,59,242,2014,316,12.99623,-15.16658,-4.393056,-4.209217,-3.770536,-3.420313,-2.699448,-2.372952,-2.115976,-2.022478,-1.952253,-2.209511,-2.186111,-1.928841
11/12/2014 3:00,60,242,2014,316,12.99623,-15.31794,-4.439286,-4.248537,-3.791407,-3.420313,-2.699448,-2.372952,-2.13118,-2.022478,-1.961643,-2.209511,-2.186111,-1.928841
11/12/2014 4:00,61,242,2014,316,12.99285,-15.74946,-4.48476,-4.276696,-3.797497,-3.442659,-2.698418,-2.371914,-2.138243,-2.035376,-1.974527,-2.208401,-2.185038,-1.949959
11/12/2014 5:00,62,242,2014,316,12.98953,-16.26005,-4.517959,-4.309896,-3.800539,-3.429379,-2.696629,-2.360693,-2.124674,-2.031084,-1.96089,-2.218172,-2.171413,-1.937483
11/12/2014 6:00,63,242,2014,316,12.98953,-16.49276,-4.587293,-4.356136,-3.823729,-3.452608,-2.708275,-2.381691,-2.124674,-2.031084,-1.96089,-2.218172,-2.171413,-1.937483
11/12/2014 7:00,64,242,2014,316,15.34315,-15.41961,-4.604596,-4.371173,-3.817923,-3.446781,-2.702436,-2.375877,-2.118788,-2.025251,-1.955025,-2.212322,-2.165567,-1.931602
11/12/2014 8:00,65,242,2014,316,17.69496,-5.722908,-4.595665,-4.364848,-3.833139,-3.462543,-2.719309,-2.379204,-2.136499,-2.024384,-1.972967,-2.206543,-2.183191,-1.926212
11/12/2014 9:00,66,242,2014,316,17.95175,4.23587,-4.552548,-4.322069,-3.814205,-3.444111,-2.725159,-2.37628,-2.119951,-2.026655,-1.956661,-2.213198,-2.166607,-1.916975
11/12/2014 10:00,67,242,2014,316,17.91639,11.12884,-4.549136,-4.340765,-3.833487,-3.463821,-2.722441,-2.380901,-2.141172,-2.071295,-1.976879,-2.21102,-2.18775,-1.931414
11/12/2014 11:00,68,242,2014,316,17.68379,15.48242,-4.59695,-4.366881,-3.839212,-3.467497,-2.72781,-2.401587,-2.144577,-2.169012,-1.98274,-2.215563,-2.170168,-1.936136
11/12/2014 12:00,69,242,2014,316,17.42916,17.46379,-4.604527,-4.375679,-3.850435,-3.476507,-2.735819,-2.40275,-2.131861,-2.155113,-1.968866,-2.224897,-2.178396,-1.923416
11/12/2014 13:00,70,242,2014,316,17.18757,19.18081,-4.566477,-4.359481,-3.874643,-3.483498,-2.743,-2.39488,-2.13912,-2.046026,-1.976151,-2.228655,-2.185631,-1.929565
11/12/2014 14:00,71,242,2014,316,16.94334,21.15088,-4.066561,-4.119537,-3.889168,-3.497023,-2.756813,-2.408821,-2.153164,-2.176445,-1.986786,-2.222925,-2.177595,-1.932066
11/12/2014 15:00,72,242,2014,316,16.37171,21.09666,-3.634941,-3.889736,-3.893196,-3.497606,-2.757389,-2.409412,-2.153778,-2.056093,-1.981564,-2.223532,-2.193308,-1.930342
11/12/2014 16:00,73,242,2014,316,13.75147,8.368038,-4.427857,-4.343796,-3.94376,-3.528015,-2.763601,-2.415106,-2.159105,-2.042591,-1.995977,-2.228952,-2.188227,-1.949343
11/12/2014 17:00,74,242,2014,316,13.86517,-1.032703,-4.648746,-4.487411,-3.979675,-3.54027,-2.77482,-2.422371,-2.169529,-2.051706,-1.982841,-2.216135,-2.192844,-1.936096
11/12/2014 18:00,75,242,2014,316,13.48097,-6.619831,-4.686476,-4.501975,-3.993858,-3.554125,-2.788139,-2.415636,-2.159056,-2.042318,-1.995596,-2.229048,-2.182394,-1.948837
11/12/2014 19:00,76,242,2014,316,13.22128,-10.05163,-4.663083,-4.501533,-4.016245,-3.569349,-2.786694,-2.437292,-2.157215,-2.060257,-1.993658,-2.227293,-2.203915,-1.944548
11/12/2014 20:00,77,242,2014,316,13.1367,-11.98103,-4.666579,-4.504962,-4.019506,-3.602619,-2.812838,-2.440023,-2.183254,-2.066414,-1.998631,-2.253321,-2.206627,-1.94949
11/12/2014 21:00,78,242,2014,316,13.09211,-13.05418,-4.655047,-4.493413,-4.031096,-3.614216,-2.801218,-2.430702,-2.19261,-2.057055,-2.007936,-2.241657,-2.207806,-1.961208
11/12/2014 22:00,79,242,2014,316,13.06684,-13.68451,-4.653968,-4.492332,-4.053043,-3.615269,-2.79981,-2.450249,-2.193453,-2.074245,-2.00643,-2.240156,-2.216814,-1.959612
11/12/2014 23:00,80,242,2014,316,13.0515,-14.19736,-4.64595,-4.505086,-4.042645,-3.625658,-2.812458,-2.439528,-2.182699,-2.065838,-1.99564,-2.22942,-2.20607,-1.948868
11/13/2014 0:00,81,242,2014,317,13.03526,-14.47073,-4.670259,-4.508568,-4.046104,-3.630283,-2.815895,-2.466305,-2.186111,-2.06922,-1.999062,-2.232849,-2.209511,-1.952253
11/13/2014 1:00,82,242,2014,317,13.02969,-14.74184,-4.71066,-4.525897,-4.063473,-3.646515,-2.833361,-2.460461,-2.19195,-2.063385,-2.004911,-2.22699,-2.20363,-1.946398
11/13/2014 2:00,83,242,2014,317,13.02411,-14.91806,-4.739495,-4.554766,-4.069279,-3.655802,-2.839163,-2.466305,-2.209511,-2.073893,-2.022478,-2.242184,-2.227007,-1.952253
11/13/2014 3:00,84,242,2014,317,13.01853,-15.39476,-4.779787,-4.571991,-4.086493,-3.669577,-2.849518,-2.461508,-2.20351,-2.08662,-2.016487,-2.250242,-2.226871,-1.947454
11/13/2014 4:00,85,242,2014,317,13.01405,-15.59583,-4.821311,-4.613527,-4.081758,-3.664789,-2.85161,-2.478704,-2.198536,-2.081631,-2.011454,-2.245239,-2.221857,-1.947104
11/13/2014 5:00,86,242,2014,317,13.01357,-15.36991,-4.888458,-4.646104,-4.092501,-3.697617,-2.861366,-2.488525,-2.208355,-2.091492,-2.021309,-2.255098,-2.23173,-1.957001
11/13/2014 6:00,87,242,2014,317,13.02411,-14.69213,-4.937916,-4.693332,-4.11554,-3.698687,-2.862438,-2.489624,-2.209454,-2.092592,-2.022469,-2.256193,-2.232819,-1.952238
11/13/2014 7:00,88,242,2014,317,14.51274,-14.14991,-4.980579,-4.734877,-4.131725,-3.698687,-2.862438,-2.489624,-2.209454,-2.092592,-2.022469,-2.253855,-2.232819,-1.952238
11/13/2014 8:00,89,242,2014,317,16.1646,-7.017456,-4.955144,-4.701551,-4.124336,-3.70787,-2.872482,-2.476675,-2.220133,-2.080025,-2.009924,-2.243479,-2.220133,-1.961994
11/13/2014 9:00,90,242,2014,317,17.89104,1.94725,-4.913992,-4.660707,-4.130287,-3.691225,-2.880081,-2.484844,-2.205301,-2.088701,-2.01869,-2.248436,-2.215771,-1.94866
11/13/2014 10:00,91,242,2014,317,17.78086,9.816219,-4.908651,-4.678628,-4.125837,-3.688456,-2.877081,-2.482294,-2.20307,-2.086573,-2.016668,-2.24963,-2.20307,-1.946722
11/13/2014 11:00,92,242,2014,317,17.29454,15.38527,-4.94092,-4.688157,-4.135845,-3.697666,-2.888142,-2.493719,-2.214764,-2.19146,-2.028507,-2.243822,-2.214764,-1.943459
11/13/2014 12:00,93,242,2014,317,16.9851,17.36212,-4.92736,-4.697621,-4.145451,-3.707399,-2.892326,-2.503786,-2.224897,-2.248154,-2.015451,-2.248154,-2.224897,-1.945524
11/13/2014 13:00,94,242,2014,317,16.71586,18.86904,-4.70384,-4.565947,-4.151779,-3.713776,-2.883806,-2.510399,-2.208307,-2.278105,-2.022156,-2.235065,-2.208307,-1.952291
11/13/2014 14:00,95,242,2014,317,16.27581,19.89022,-4.40914,-4.448225,-4.15597,-3.718086,-2.890497,-2.514828,-2.212782,-2.63085,-2.026617,-2.237196,-2.212782,-1.95677
11/13/2014 15:00,96,242,2014,317,14.91271,21.23221,-4.327195,-4.419217,-4.189159,-3.728355,-2.897585,-2.510412,-2.223532,-2.110741,-2.014185,-2.246796,-2.22237,-1.944334
11/13/2014 16:00,97,242,2014,317,14.02133,10.08733,-4.687913,-4.622357,-4.227478,-3.766129,-2.91119,-2.51543,-2.23634,-2.096577,-2.026674,-2.257278,-2.213043,-1.956772
11/13/2014 17:00,98,242,2014,317,14.22822,0.9034767,-4.891584,-4.747712,-4.248717,-3.784525,-2.927469,-2.509121,-2.229668,-2.089787,-2.023287,-2.252981,-2.229668,-1.949753
11/13/2014 18:00,99,242,2014,317,13.64423,-4.96154,-4.927497,-4.766242,-4.272632,-3.796547,-2.938787,-2.520145,-2.240458,-2.100468,-2.030405,-2.24164,-2.217133,-1.960329
11/13/2014 19:00,100,242,2014,317,13.30037,-8.531155,-4.912884,-4.774575,-4.28999,-3.827576,-2.946276,-2.527397,-2.247606,-2.107536,-2.037458,-2.270945,-2.224272,-1.96734
11/13/2014 20:00,101,242,2014,317,13.17737,-10.99826,-4.898092,-4.759735,-4.298013,-3.835476,-2.953856,-2.53487,-2.254953,-2.114851,-2.044739,-2.254953,-2.231627,-1.974613
11/13/2014 21:00,102,242,2014,317,13.13112,-12.64751,-4.879997,-4.75313,-4.292427,-3.848236,-2.946638,-2.544952,-2.247505,-2.107334,-2.037189,-2.263836,-2.247505,-1.967035
11/13/2014 22:00,103,242,2014,317,13.09468,-13.83136,-4.855506,-4.718232,-4.301296,-3.841997,-2.956509,-2.537279,-2.257257,-2.117064,-2.046942,-2.257257,-2.233912,-1.956894
11/13/2014 23:00,104,242,2014,317,13.06871,-14.42102,-4.851494,-4.710729,-4.294871,-3.855171,-2.971918,-2.553823,-2.250435,-2.110258,-2.040079,-2.250435,-2.227089,-1.957018
11/14/2014 0:00,105,242,2014,318,13.05199,-14.64243,-4.877972,-4.738336,-4.30058,-3.860886,-2.978811,-2.559576,-2.256227,-2.115976,-2.045837,-2.256227,-2.232849,-1.974501
11/14/2014 1:00,106,242,2014,318,13.04084,-14.8435,-4.906796,-4.745259,-4.315589,-3.889841,-2.984632,-2.565426,-2.283062,-2.12184,-2.051689,-2.262051,-2.238688,-1.981512
11/14/2014 2:00,107,242,2014,318,13.03526,-14.8435,-4.924114,-4.761438,-4.323721,-3.884043,-2.978811,-2.559576,-2.27956,-2.115976,-2.045837,-2.256227,-2.232849,-1.97567
11/14/2014 3:00,108,242,2014,318,13.03526,-14.86835,-4.970219,-4.785657,-4.323721,-3.907209,-2.999737,-2.559576,-2.27956,-2.115976,-2.045837,-2.257383,-2.232849,-1.97567
11/14/2014 4:00,109,242,2014,318,13.03526,-14.91806,-5.016348,-4.808762,-4.323721,-3.907209,-3.002096,-2.57011,-2.27956,-2.122995,-2.045837,-2.259703,-2.232849,-1.97567
11/14/2014 5:00,110,242,2014,318,13.03526,-14.76669,-5.062477,-4.854878,-4.326001,-3.907209,-3.002096,-2.582891,-2.27956,-2.13237,-2.045837,-2.258545,-2.232849,-1.97567
11/14/2014 6:00,111,242,2014,318,13.04084,-14.74184,-5.121252,-4.901024,-4.346815,-3.907209,-3.006731,-2.582891,-2.27956,-2.139378,-2.045837,-2.258545,-2.232849,-1.97567
