borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrated,notes
845,173,kronenberg2022b,published,2018-02-05,2018-02-05,11:00:00,,,
845,174,kronenberg2022b,published,2018-02-05,2018-02-05,11:30:00,,,
845,175,kronenberg2022b,published,2018-02-05,2018-02-05,12:00:00,,,
845,176,kronenberg2022b,published,2018-02-05,2018-02-05,12:30:00,,,
845,177,kronenberg2022b,published,2018-02-05,2018-02-05,13:00:00,,,
845,178,kronenberg2022b,published,2018-02-05,2018-02-05,13:30:00,,,
845,179,kronenberg2022b,published,2018-02-05,2018-02-05,14:00:00,,,
845,180,kronenberg2022b,published,2018-02-05,2018-02-05,14:30:00,,,
845,181,kronenberg2022b,published,2018-02-05,2018-02-05,15:00:00,,,
845,182,kronenberg2022b,published,2018-02-05,2018-02-05,15:30:00,,,
845,183,kronenberg2022b,published,2018-02-05,2018-02-05,16:00:00,,,
845,184,kronenberg2022b,published,2018-02-05,2018-02-05,16:30:00,,,
845,185,kronenberg2022b,published,2018-02-05,2018-02-05,17:00:00,,,
845,186,kronenberg2022b,published,2018-02-05,2018-02-05,17:30:00,,,
845,187,kronenberg2022b,published,2018-02-05,2018-02-05,18:00:00,,,
845,188,kronenberg2022b,published,2018-02-05,2018-02-05,18:30:00,,,
845,189,kronenberg2022b,published,2018-02-05,2018-02-05,19:00:00,,,
845,190,kronenberg2022b,published,2018-02-05,2018-02-05,19:30:00,,,
845,191,kronenberg2022b,published,2018-02-05,2018-02-05,20:00:00,,,
845,192,kronenberg2022b,published,2018-02-05,2018-02-05,20:30:00,,,
845,193,kronenberg2022b,published,2018-02-05,2018-02-05,21:00:00,,,
845,194,kronenberg2022b,published,2018-02-05,2018-02-05,21:30:00,,,
845,195,kronenberg2022b,published,2018-02-05,2018-02-05,22:00:00,,,
845,196,kronenberg2022b,published,2018-02-05,2018-02-05,22:30:00,,,
845,197,kronenberg2022b,published,2018-02-05,2018-02-05,23:00:00,,,
845,198,kronenberg2022b,published,2018-02-05,2018-02-05,23:30:00,,,
845,199,kronenberg2022b,published,2018-02-06,2018-02-06,00:00:00,,,
845,200,kronenberg2022b,published,2018-02-06,2018-02-06,00:30:00,,,
845,201,kronenberg2022b,published,2018-02-06,2018-02-06,01:00:00,,,
845,202,kronenberg2022b,published,2018-02-06,2018-02-06,01:30:00,,,
845,203,kronenberg2022b,published,2018-02-06,2018-02-06,02:00:00,,,
845,204,kronenberg2022b,published,2018-02-06,2018-02-06,02:30:00,,,
845,205,kronenberg2022b,published,2018-02-06,2018-02-06,03:00:00,,,
845,206,kronenberg2022b,published,2018-02-06,2018-02-06,03:30:00,,,
845,207,kronenberg2022b,published,2018-02-06,2018-02-06,04:00:00,,,
845,208,kronenberg2022b,published,2018-02-06,2018-02-06,04:30:00,,,
845,209,kronenberg2022b,published,2018-02-06,2018-02-06,05:00:00,,,
845,210,kronenberg2022b,published,2018-02-06,2018-02-06,05:30:00,,,
845,211,kronenberg2022b,published,2018-02-06,2018-02-06,06:00:00,,,
845,212,kronenberg2022b,published,2018-02-06,2018-02-06,06:30:00,,,
845,213,kronenberg2022b,published,2018-02-06,2018-02-06,07:00:00,,,
845,214,kronenberg2022b,published,2018-02-06,2018-02-06,07:30:00,,,
