borehole_id,profile_id,depth,temperature
845,35,4.54,-3.013
845,35,10.54,-0.065
845,35,18.54,-0.023
845,36,0.54,-15.23
845,36,4.54,-3.019
845,36,10.54,-0.058
845,36,18.54,-0.022
845,37,0.54,-15.21
845,37,4.54,-3.035
845,37,10.54,-0.064
845,37,18.54,-0.022
845,38,0.54,-15.2
845,38,4.54,-2.999
845,38,10.54,-0.064
845,38,18.54,-0.022
845,39,0.54,-15.18
845,39,4.54,-3.054
845,39,10.54,-0.05
845,39,18.54,-0.02
845,40,0.55,-15.16
845,40,4.54,-3.045
845,40,10.54,-0.048
845,40,18.55,-0.018
845,41,0.55,-15.15
845,41,4.55,-3.039
845,41,10.55,-0.051
845,41,18.55,-0.015
845,42,0.55,-15.13
845,42,4.55,-3.01
845,42,10.55,-0.042
845,42,18.55,-0.015
845,43,0.55,-15.12
845,43,4.55,-3.034
845,43,10.55,-0.039
845,43,18.55,-0.012
845,44,0.55,-15.1
845,44,4.55,-3.004
845,44,10.55,-0.039
845,44,18.55,-0.009
845,45,0.55,-15.09
845,45,4.55,-3.028
845,45,10.55,-0.033
845,45,18.55,-0.006
845,46,0.55,-15.08
845,46,4.55,-3.004
845,46,10.55,-0.029
845,46,18.55,-0.002
845,47,0.55,-15.06
845,47,4.55,-2.99
845,47,10.55,-0.035
845,47,18.55,-0.005
845,48,0.54,-15.06
845,48,4.54,-2.953
845,48,10.54,-0.029
845,48,18.54,-0.005
845,49,0.54,-15.05
845,49,4.54,-2.939
845,49,10.54,-0.028
845,49,18.54,-0.004
845,50,0.54,-15.03
845,50,4.54,-2.953
845,50,10.54,-0.028
845,50,18.54,-0.001
845,51,0.54,-15.03
845,51,4.54,-2.966
845,51,10.54,-0.037
845,51,18.54,-0.001
845,52,0.54,-15.02
845,52,4.54,-2.966
845,52,10.54,-0.031
845,52,18.54,-0.001
845,53,0.54,-15.01
845,53,4.54,-2.973
845,53,10.54,-0.031
845,53,18.54,-0.001
845,54,0.54,-15.0
845,54,4.54,-2.946
845,54,10.54,-0.031
845,54,18.54,-0.001
845,55,0.54,-14.99
845,55,4.54,-2.972
845,55,10.54,-0.03
845,55,18.54,0.0
845,56,0.54,-14.99
845,56,4.54,-2.958
845,56,10.54,-0.036
845,56,18.54,0.0
845,57,0.54,-14.98
845,57,4.54,-2.891
845,57,10.54,-0.035
845,57,18.54,0.001
845,58,0.54,-14.97
845,58,4.54,-2.896
845,58,10.54,-0.042
845,58,18.54,0.002
845,59,0.54,-14.96
845,59,4.54,-2.916
845,59,10.54,-0.033
845,59,18.54,0.003
845,60,0.54,-14.96
845,60,4.54,-2.883
845,60,10.54,-0.027
845,60,18.54,0.006
845,61,0.54,-14.95
845,61,4.54,-2.866
845,61,10.54,-0.027
845,61,18.54,0.006
845,62,0.54,-14.94
845,62,4.54,-2.876
845,62,10.54,-0.027
845,62,18.54,0.003
845,63,0.55,-14.94
845,63,4.55,-2.843
845,63,10.55,-0.03
845,63,18.55,0.003
845,64,0.55,-14.94
845,64,4.55,-2.859
845,64,10.55,-0.036
845,64,18.55,0.003
845,65,0.55,-14.93
845,65,4.55,-2.856
845,65,10.55,-0.033
845,65,18.55,0.006
845,66,0.55,-14.92
845,66,4.55,-2.856
845,66,10.55,-0.027
845,66,18.55,0.003
845,67,0.55,-14.92
845,67,4.55,-2.829
845,67,10.55,-0.027
845,67,18.55,0.003
845,68,0.55,-14.92
845,68,4.55,-2.876
845,68,10.55,-0.027
845,68,18.55,0.003
845,69,0.55,-14.91
845,69,4.55,-2.916
845,69,10.55,-0.033
845,69,18.55,0.006
845,70,0.55,-14.91
845,70,4.55,-2.866
845,70,10.55,-0.021
845,70,18.55,0.003
845,71,0.54,-14.9
845,71,4.54,-2.849
845,71,10.54,-0.024
845,71,18.54,0.006
845,72,0.54,-14.9
845,72,4.54,-2.886
845,72,10.54,-0.03
845,72,18.54,0.003
845,73,0.54,-14.9
845,73,4.54,-2.876
